#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
450,06/07/2022 09:54:50,26.30,6471.68,,,,
451,06/07/2022 09:55:00,26.30,6453.76,,,,
452,06/07/2022 09:55:10,26.21,4892.16,,,,
453,06/07/2022 09:55:20,26.21,6287.36,,,,
454,06/07/2022 09:55:30,26.17,6458.88,,,,
455,06/07/2022 09:55:40,26.12,6420.48,,,,
456,06/07/2022 09:55:50,26.04,6489.60,,,,
457,06/07/2022 09:56:00,26.04,6440.96,,,,
458,06/07/2022 09:56:10,26.08,6453.76,,,,
459,06/07/2022 09:56:20,25.99,6453.76,,,,
460,06/07/2022 09:56:30,25.95,6446.08,,,,
461,06/07/2022 09:56:40,25.91,6471.68,,,,
462,06/07/2022 09:56:50,25.91,6415.36,,,,
463,06/07/2022 09:57:00,25.87,6584.32,,,,
464,06/07/2022 09:57:10,25.78,6558.72,,,,
465,06/07/2022 09:57:20,25.82,6476.80,,,,
466,06/07/2022 09:57:30,25.78,6584.32,,,,
467,06/07/2022 09:57:40,25.74,6571.52,,,,
468,06/07/2022 09:57:50,25.74,6571.52,,,,
469,06/07/2022 09:58:00,25.69,6594.56,,,,
470,06/07/2022 09:58:10,25.69,6620.16,,,,
471,06/07/2022 09:58:20,25.61,6620.16,,,,
472,06/07/2022 09:58:30,25.61,6627.84,,,,
473,06/07/2022 09:58:40,25.61,7982.08,,,,
474,06/07/2022 09:58:50,25.61,7920.64,,,,
475,06/07/2022 09:59:00,25.57,7559.68,,,,
476,06/07/2022 09:59:10,25.52,1756.16,,,,
477,06/07/2022 09:59:20,25.52,9044.48,,,,
478,06/07/2022 09:59:30,25.52,7498.24,,,,
479,06/07/2022 09:59:40,25.48,7564.80,,,,
480,06/07/2022 09:59:50,25.48,6464.00,,,,
481,06/07/2022 10:00:00,25.39,6010.88,,,,
482,06/07/2022 10:00:10,25.35,7249.92,,,,
483,06/07/2022 10:00:20,25.39,7372.80,,,,
484,06/07/2022 10:00:30,25.35,7528.96,,,,
485,06/07/2022 10:00:40,25.31,8325.12,,,,
486,06/07/2022 10:00:50,25.27,8199.68,,,,
487,06/07/2022 10:01:00,25.18,8947.20,,,,
488,06/07/2022 10:01:10,25.22,12016.64,,,,
489,06/07/2022 10:01:20,25.39,24238.08,,,,
490,06/07/2022 10:01:30,25.39,21882.88,,,,
491,06/07/2022 10:01:40,25.52,25384.96,,,,
492,06/07/2022 10:01:50,25.82,42106.88,,,,
493,06/07/2022 10:02:00,26.08,29562.88,,,,
494,06/07/2022 10:02:10,26.17,27627.52,,,,
495,06/07/2022 10:02:20,26.08,1408.00,,,,
496,06/07/2022 10:02:30,25.95,21514.24,,,,
497,06/07/2022 10:02:40,26.04,6758.40,,,,
498,06/07/2022 10:02:50,25.95,6607.36,,,,
499,06/07/2022 10:03:00,26.25,82411.52,,,,
